year,longitude,latitude,fish_type
2013.0,-60.5083333300,49.5058333300,capelin
2013.0,-60.3550000000,48.7841666700,capelin
2013.0,-61.3074166700,49.2833333300,capelin
2013.0,-61.3328333300,49.3035000000,capelin
2013.0,-61.9085833300,48.8977500000,capelin
2013.0,-62.1230000000,48.9563333300,capelin
2013.0,-62.5708333300,48.9520833300,capelin
2013.0,-63.0436666700,49.1310000000,capelin
2013.0,-63.7020000000,49.1617500000,capelin
2013.0,-63.4067500000,48.9834166700,capelin
2013.0,-63.5391666700,48.7987500000,capelin
2013.0,-63.2678333300,48.7954166700,capelin
2013.0,-63.0500000000,48.7674166700,capelin
2013.0,-62.7808333300,48.7066666700,capelin
2014.0,-63.5481666700,48.9683333300,capelin
2014.0,-60.1675833300,49.3957500000,capelin
2014.0,-60.1013333300,49.5568333300,capelin
2014.0,-59.7272500000,49.8007500000,capelin
2014.0,-60.1769166700,49.8259166700,capelin
2014.0,-60.0090833300,50.0856666700,capelin
2014.0,-59.2756666700,49.9138333300,capelin
2014.0,-59.1113333300,49.9255000000,capelin
2014.0,-58.9056666700,50.1787500000,capelin
2014.0,-58.4876666700,50.2270000000,capelin
2014.0,-58.5917500000,50.2295833300,capelin
2014.0,-58.7015833300,50.2640833300,capelin
2014.0,-58.3310833300,50.4810833300,capelin
2014.0,-58.1648333300,50.5042500000,capelin
2014.0,-57.8519166700,50.6915000000,capelin
2014.0,-57.8755000000,50.8175833300,capelin
2014.0,-57.1590000000,51.3136666700,capelin
2014.0,-56.7890000000,51.4328333300,capelin
2014.0,-56.6528333300,51.4880833300,capelin
2014.0,-56.5076666700,51.6112500000,capelin
2014.0,-55.8575833300,51.8472500000,capelin
2014.0,-55.8605000000,51.7270833300,capelin
2014.0,-56.1640833300,51.6710833300,capelin
2014.0,-57.0525833300,51.2457500000,capelin
2014.0,-57.5458333300,50.6876666700,capelin
2014.0,-57.5600833300,50.4689166700,capelin
2014.0,-58.0425000000,50.4613333300,capelin
2014.0,-57.9357500000,50.3829166700,capelin
2014.0,-57.8224166700,50.2056666700,capelin
2014.0,-58.3613333300,49.8916666700,capelin
2014.0,-58.6766666700,49.8814166700,capelin
2014.0,-59.4553333300,48.1722500000,capelin
2014.0,-59.9090833300,48.1932500000,capelin
2014.0,-60.6325000000,47.9109166700,capelin
2014.0,-61.7135833300,48.4612500000,capelin
2014.0,-62.3971666700,48.4423333300,capelin
2014.0,-62.4752500000,48.6835000000,capelin
2014.0,-64.0325000000,49.0929166700,capelin
2014.0,-64.2376666700,48.9979166700,capelin
2014.0,-64.7390000000,49.2133333300,capelin
2014.0,-64.5003333300,49.3320833300,capelin
2014.0,-63.8658333300,49.3966666700,capelin
2014.0,-64.8558333300,49.5516666700,capelin
2014.0,-65.0202500000,49.4680000000,capelin
2014.0,-65.1720833300,49.4629166700,capelin
2014.0,-65.2477500000,49.3094166700,capelin
2014.0,-65.6462500000,49.3502500000,capelin
2014.0,-65.6844166700,49.3184166700,capelin
2014.0,-66.2887500000,49.4951666700,capelin
2014.0,-66.2393333300,49.3886666700,capelin
2014.0,-66.9409166700,49.2931666700,capelin
2014.0,-67.1591666700,49.1435833300,capelin
2014.0,-67.2807500000,48.9750833300,capelin
2014.0,-67.6375000000,48.8610833300,capelin
2014.0,-67.8220000000,48.8193333300,capelin
2014.0,-68.3626666700,48.6889166700,capelin
2014.0,-68.6745833300,48.5982500000,capelin
2014.0,-68.8605833300,48.4860833300,capelin
2014.0,-68.9100833300,48.6342500000,capelin
2014.0,-68.6747500000,48.6193333300,capelin
2014.0,-68.9388333300,48.7468333300,capelin
2014.0,-68.5777500000,48.8846666700,capelin
2014.0,-68.3080000000,49.0236666700,capelin
2014.0,-68.1762500000,49.0066666700,capelin
2014.0,-67.7414166700,49.0892500000,capelin
2014.0,-67.5686666700,49.1577500000,capelin
2014.0,-67.3395833300,49.2113333300,capelin
2014.0,-66.9665833300,49.3555000000,capelin
2014.0,-66.9022500000,49.4515000000,capelin
2014.0,-66.9853333300,49.7084166700,capelin
2014.0,-66.3281666700,49.7894166700,capelin
2014.0,-66.7431666700,49.9101666700,capelin
2014.0,-66.6578333300,50.0098333300,capelin
2014.0,-66.5146666700,49.9207500000,capelin
2014.0,-66.3172500000,49.8597500000,capelin
2014.0,-65.5721666700,49.9776666700,capelin
2014.0,-65.8063333300,49.7112500000,capelin
2014.0,-65.2062500000,50.0016666700,capelin
2014.0,-64.9211666700,49.9065833300,capelin
2014.0,-64.7309166700,49.9120833300,capelin
2014.0,-64.8220000000,50.1081666700,capelin
2014.0,-64.2670000000,50.1201666700,capelin
2014.0,-63.3509166700,49.9893333300,capelin
2014.0,-63.3450833300,50.1215833300,capelin
2014.0,-62.8828333300,49.9126666700,capelin
2014.0,-62.8206666700,49.8045833300,capelin
2014.0,-62.2845000000,49.8530000000,capelin
2014.0,-61.2385000000,49.8563333300,capelin
2014.0,-61.3922500000,49.7514166700,capelin
2014.0,-61.7855833300,49.6210833300,capelin
2014.0,-61.7484166700,49.5339166700,capelin
2014.0,-61.3229166700,49.4839166700,capelin
2014.0,-60.7515000000,49.6357500000,capelin
2014.0,-60.7035833300,49.3442500000,capelin
2014.0,-61.2256666700,49.1910833300,capelin
2014.0,-62.4799166700,49.0000833300,capelin
2014.0,-63.2414166700,49.2389166700,capelin
2014.0,-63.8025833300,49.2541666700,capelin
2014.0,-63.7940833300,49.3146666700,capelin
2015.0,-62.9272500000,48.4703333300,capelin
2015.0,-59.4371666700,49.7577500000,capelin
2015.0,-58.6731666700,50.1005000000,capelin
2015.0,-58.5726666700,50.2160833300,capelin
2015.0,-58.2462500000,50.2032500000,capelin
2015.0,-58.1448333300,50.4842500000,capelin
2015.0,-58.1380833300,50.5638333300,capelin
2015.0,-57.3335833300,51.0681666700,capelin
2015.0,-57.1341666700,51.3186666700,capelin
