,year,depth_range,temperature,salinity,temp_variation,sal_variation,temp_var_ytoy,sal_var_ytoy
96,2015,"(900, 1000]",4.261,34.927,-0.31099999999999994,-0.018000000000000682,-0.04999999999999982,0.0030000000000001137
97,2016,"(900, 1000]",4.394,34.963,-0.17799999999999994,0.018000000000000682,0.133,0.036000000000001364
98,2017,"(900, 1000]",4.394,34.938,-0.17799999999999994,-0.006999999999997897,0.0,-0.02499999999999858
99,2018,"(900, 1000]",4.535,34.924,-0.03699999999999992,-0.021000000000000796,0.14100000000000001,-0.014000000000002899
100,2009,"(1000, 1100]",4.336,34.939,0.0,0.0,0.0,0.0
101,2010,"(1000, 1100]",4.157,34.922,-0.17900000000000027,-0.017000000000003013,-0.17900000000000027,-0.017000000000003013
102,2011,"(1000, 1100]",4.071,34.918,-0.26500000000000057,-0.021000000000000796,-0.0860000000000003,-0.003999999999997783
103,2012,"(1000, 1100]",4.11,34.92,-0.22599999999999998,-0.01899999999999835,0.03900000000000059,0.0020000000000024443
104,2013,"(1000, 1100]",4.157,34.927,-0.17900000000000027,-0.012000000000000455,0.04699999999999971,0.006999999999997897
105,2014,"(1000, 1100]",4.178,34.925,-0.15800000000000036,-0.014000000000002899,0.020999999999999908,-0.0020000000000024443
106,2015,"(1000, 1100]",4.243,34.938,-0.09299999999999997,-0.0009999999999976694,0.06500000000000039,0.01300000000000523
107,2016,"(1000, 1100]",4.325,34.978,-0.01100000000000012,0.03900000000000148,0.08199999999999985,0.03999999999999915
108,2017,"(1000, 1100]",4.252,34.934,-0.08400000000000052,-0.005000000000002558,-0.0730000000000004,-0.044000000000004036
109,2018,"(1000, 1100]",4.207,34.901,-0.12900000000000045,-0.0379999999999967,-0.04499999999999993,-0.032999999999994145
110,2009,"(1100, 1200]",4.191,34.937,0.0,0.0,0.0,0.0
111,2010,"(1100, 1200]",4.021,34.92,-0.16999999999999993,-0.016999999999995907,-0.16999999999999993,-0.016999999999995907
112,2011,"(1100, 1200]",3.983,34.915,-0.20799999999999974,-0.021999999999998465,-0.03799999999999981,-0.005000000000002558
113,2012,"(1100, 1200]",4.011,34.92,-0.17999999999999972,-0.016999999999995907,0.028000000000000025,0.005000000000002558
114,2013,"(1100, 1200]",4.049,34.923,-0.14199999999999946,-0.013999999999995794,0.038000000000000256,0.0030000000000001137
115,2014,"(1100, 1200]",4.057,34.919,-0.13399999999999945,-0.018000000000000682,0.008000000000000007,-0.0040000000000048885
116,2015,"(1100, 1200]",4.095,34.931,-0.09600000000000009,-0.006000000000000227,0.03799999999999937,0.012000000000000455
117,2016,"(1100, 1200]",4.106,34.981,-0.08499999999999996,0.044000000000004036,0.01100000000000012,0.05000000000000426
118,2017,"(1100, 1200]",4.068,34.923,-0.12300000000000022,-0.013999999999995794,-0.038000000000000256,-0.05799999999999983
119,2018,"(1100, 1200]",3.977,34.886,-0.21399999999999997,-0.05099999999999483,-0.09099999999999975,-0.036999999999999034
120,2009,"(1200, 1300]",4.059,34.933,0.0,0.0,0.0,0.0
121,2010,"(1200, 1300]",3.93,34.919,-0.129,-0.014000000000002899,-0.129,-0.014000000000002899
122,2011,"(1200, 1300]",3.873,34.913,-0.18599999999999994,-0.020000000000003126,-0.05699999999999994,-0.006000000000000227
123,2012,"(1200, 1300]",3.893,34.915,-0.16600000000000037,-0.018000000000000682,0.019999999999999574,0.0020000000000024443
124,2013,"(1200, 1300]",3.949,34.922,-0.11000000000000032,-0.011000000000002785,0.05600000000000005,0.006999999999997897
125,2014,"(1200, 1300]",3.942,34.918,-0.11699999999999999,-0.015000000000000568,-0.006999999999999673,-0.003999999999997783
126,2015,"(1200, 1300]",3.981,34.928,-0.07800000000000029,-0.005000000000002558,0.0389999999999997,0.00999999999999801
127,2016,"(1200, 1300]",3.958,34.958,-0.10099999999999998,0.02499999999999858,-0.022999999999999687,0.030000000000001137
128,2017,"(1200, 1300]",3.959,34.918,-0.10000000000000009,-0.015000000000000568,0.0009999999999998899,-0.03999999999999915
129,2018,"(1200, 1300]",3.871,34.881,-0.18800000000000017,-0.0519999999999996,-0.08800000000000008,-0.036999999999999034
130,2009,"(1300, 1400]",3.953,34.93,0.0,0.0,0.0,0.0
131,2010,"(1300, 1400]",3.853,34.919,-0.09999999999999964,-0.011000000000002785,-0.09999999999999964,-0.011000000000002785
132,2011,"(1300, 1400]",3.802,34.916,-0.1509999999999998,-0.014000000000002899,-0.051000000000000156,-0.0030000000000001137
133,2012,"(1300, 1400]",3.836,34.915,-0.11699999999999999,-0.015000000000000568,0.03399999999999981,-0.0009999999999976694
134,2013,"(1300, 1400]",3.889,34.926,-0.06400000000000006,-0.003999999999997783,0.052999999999999936,0.011000000000002785
135,2014,"(1300, 1400]",3.875,34.919,-0.07799999999999985,-0.011000000000002785,-0.01399999999999979,-0.007000000000005002
136,2015,"(1300, 1400]",3.9,34.926,-0.052999999999999936,-0.003999999999997783,0.02499999999999991,0.007000000000005002
137,2016,"(1300, 1400]",3.873,34.972,-0.07999999999999963,0.04200000000000159,-0.02699999999999969,0.045999999999999375
138,2017,"(1300, 1400]",3.874,34.915,-0.07899999999999974,-0.015000000000000568,0.0009999999999998899,-0.05700000000000216
139,2018,"(1300, 1400]",3.788,34.878,-0.16500000000000004,-0.0519999999999996,-0.0860000000000003,-0.036999999999999034
140,2009,"(1400, 1500]",3.874,34.926,0.0,0.0,0.0,0.0
141,2010,"(1400, 1500]",3.78,34.919,-0.0940000000000003,-0.007000000000005002,-0.0940000000000003,-0.007000000000005002
142,2011,"(1400, 1500]",3.735,34.917,-0.13900000000000023,-0.009000000000000341,-0.04499999999999993,-0.001999999999995339
143,2012,"(1400, 1500]",3.772,34.921,-0.10200000000000031,-0.005000000000002558,0.03699999999999992,0.003999999999997783
144,2013,"(1400, 1500]",3.83,34.926,-0.04400000000000004,0.0,0.058000000000000274,0.005000000000002558
